DOC_NO,PLANT,STAGE,OEM,VEH,PJT,OCC_DATE,REG_DATE,RETURN_YN,RTN_DATE,CTM_DATE,HK_FAULT_YN,COMP_DATE,STATUS,LOCATION,MARKET,M_CODE,TYPE_NAME,CAT_NAME,SUB_CAT_NAME,D2_PROBLEM,D0_EMERGENCY,D4_SMMY,D8_RESULT,D4_ROOT_CAUSE,D5_COUNTERMEASURE,URL
QI-2026-00127,KP,Mass Production,KMC,Sorento,MQ4 HEV,2026-01-15,2026-05-12,null,null,2026-05-13,N,2026-05-14,Complete,Internal,ETC,1037494,IQM Plus,General,Nonconformity,부적합 다량 발생으로 인한 공장 개선 활동 ,-,"Development (Pilot V0000) Nonconformity occurrence - 2 ea of FCB and FMM
At the beginning of mass production, activities to improve the occurrence of large quantities of BKB, BWB, LP, and LS were carried out.
1. BKB improvement activities - Spec aspect: R/C Ga' increased by 0.3, I/L width increased by 10mm 
                                                                  Management aspect: G/T inventory time management
2. LP improvement activities - Spec aspect: I/L Ga' increased 0.9/0.5 → 1.1/0.5
3. Light performance improvement activities - Spec aspect: AVH processing 
                                                                                                Management aspect: priority placement of vacuum vulcanization","1. IQM Score : 11.7 → 13.3 ( 13.68% Improve )
2. Nonconformity 
  - Light : 2,563 → 231 PPM ( 90.99% improve )
  - BKB : 0 → 777 PPM ( No Improvement ) 
  - LP : 1,010 → 499 PPM ( 51% Improve)",[BKB] It's long stock time in G/T warehouse (Avg.17.6 hr) -&gt; sagging G/T -&gt; BKB &amp; BWB occur,[BKB] G/T inventory time management (&lt;4hr),https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1982aed287c2a704f3a57bff22601
QI-2026-00127,KP,Mass Production,KMC,Sorento,MQ4 HEV,2026-01-15,2026-05-12,null,null,2026-05-13,N,2026-05-14,Complete,Internal,ETC,1037494,IQM Plus,General,Nonconformity,부적합 다량 발생으로 인한 공장 개선 활동 ,-,"Development (Pilot V0000) Nonconformity occurrence - 2 ea of FCB and FMM
At the beginning of mass production, activities to improve the occurrence of large quantities of BKB, BWB, LP, and LS were carried out.
1. BKB improvement activities - Spec aspect: R/C Ga' increased by 0.3, I/L width increased by 10mm 
                                                                  Management aspect: G/T inventory time management
2. LP improvement activities - Spec aspect: I/L Ga' increased 0.9/0.5 → 1.1/0.5
3. Light performance improvement activities - Spec aspect: AVH processing 
                                                                                                Management aspect: priority placement of vacuum vulcanization","1. IQM Score : 11.7 → 13.3 ( 13.68% Improve )
2. Nonconformity 
  - Light : 2,563 → 231 PPM ( 90.99% improve )
  - BKB : 0 → 777 PPM ( No Improvement ) 
  - LP : 1,010 → 499 PPM ( 51% Improve)",[BKB] Insufficient amount of internal wrapping Vol' -&gt; Bead toe hole,"[BKB] R/C Ga' increase 0.3mm , I/L Width increase 10mm",https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1982aed287c2a704f3a57bff22601
QI-2026-00127,KP,Mass Production,KMC,Sorento,MQ4 HEV,2026-01-15,2026-05-12,null,null,2026-05-13,N,2026-05-14,Complete,Internal,ETC,1037494,IQM Plus,General,Nonconformity,부적합 다량 발생으로 인한 공장 개선 활동 ,-,"Development (Pilot V0000) Nonconformity occurrence - 2 ea of FCB and FMM
At the beginning of mass production, activities to improve the occurrence of large quantities of BKB, BWB, LP, and LS were carried out.
1. BKB improvement activities - Spec aspect: R/C Ga' increased by 0.3, I/L width increased by 10mm 
                                                                  Management aspect: G/T inventory time management
2. LP improvement activities - Spec aspect: I/L Ga' increased 0.9/0.5 → 1.1/0.5
3. Light performance improvement activities - Spec aspect: AVH processing 
                                                                                                Management aspect: priority placement of vacuum vulcanization","1. IQM Score : 11.7 → 13.3 ( 13.68% Improve )
2. Nonconformity 
  - Light : 2,563 → 231 PPM ( 90.99% improve )
  - BKB : 0 → 777 PPM ( No Improvement ) 
  - LP : 1,010 → 499 PPM ( 51% Improve)",[Light] The root cause of light NCF is residual air between the mold and the tire.,[Light] priority placement of vacuum vulcanization,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1982aed287c2a704f3a57bff22601
QI-2026-00127,KP,Mass Production,KMC,Sorento,MQ4 HEV,2026-01-15,2026-05-12,null,null,2026-05-13,N,2026-05-14,Complete,Internal,ETC,1037494,IQM Plus,General,Nonconformity,부적합 다량 발생으로 인한 공장 개선 활동 ,-,"Development (Pilot V0000) Nonconformity occurrence - 2 ea of FCB and FMM
At the beginning of mass production, activities to improve the occurrence of large quantities of BKB, BWB, LP, and LS were carried out.
1. BKB improvement activities - Spec aspect: R/C Ga' increased by 0.3, I/L width increased by 10mm 
                                                                  Management aspect: G/T inventory time management
2. LP improvement activities - Spec aspect: I/L Ga' increased 0.9/0.5 → 1.1/0.5
3. Light performance improvement activities - Spec aspect: AVH processing 
                                                                                                Management aspect: priority placement of vacuum vulcanization","1. IQM Score : 11.7 → 13.3 ( 13.68% Improve )
2. Nonconformity 
  - Light : 2,563 → 231 PPM ( 90.99% improve )
  - BKB : 0 → 777 PPM ( No Improvement ) 
  - LP : 1,010 → 499 PPM ( 51% Improve)","[Light] Air does not escape from the SH, S/W, RC properly, resulting in light nonconformity.","[Light] Add the air vent hole - LSH : Deco +16mm, LS : RCL 50mm/Deco +30mm, LRC : RCL +28mm/Deco +52mm",https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1982aed287c2a704f3a57bff22601
QI-2026-00127,KP,Mass Production,KMC,Sorento,MQ4 HEV,2026-01-15,2026-05-12,null,null,2026-05-13,N,2026-05-14,Complete,Internal,ETC,1037494,IQM Plus,General,Nonconformity,부적합 다량 발생으로 인한 공장 개선 활동 ,-,"Development (Pilot V0000) Nonconformity occurrence - 2 ea of FCB and FMM
At the beginning of mass production, activities to improve the occurrence of large quantities of BKB, BWB, LP, and LS were carried out.
1. BKB improvement activities - Spec aspect: R/C Ga' increased by 0.3, I/L width increased by 10mm 
                                                                  Management aspect: G/T inventory time management
2. LP improvement activities - Spec aspect: I/L Ga' increased 0.9/0.5 → 1.1/0.5
3. Light performance improvement activities - Spec aspect: AVH processing 
                                                                                                Management aspect: priority placement of vacuum vulcanization","1. IQM Score : 11.7 → 13.3 ( 13.68% Improve )
2. Nonconformity 
  - Light : 2,563 → 231 PPM ( 90.99% improve )
  - BKB : 0 → 777 PPM ( No Improvement ) 
  - LP : 1,010 → 499 PPM ( 51% Improve)",[LP] Insufficient amount of I/L gauge,[LP] Increase I/L gauge (0.9/0.5 -&gt; 1.1/0.5),https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e1982aed287c2a704f3a57bff22601
QI-2026-00125,IP,Development,null,null,null,2026-03-24,2026-05-11,null,null,null,null,null,On-going,Internal,ASIA(Korea),1038828,Performance,Lab test,RR,"1) Mold 제작 시 설정된 VT의예상 RR 값 6.0~6.1 수준 
2) 1차 샘플 (VT와 동일 Spec) : 6.54 (약 8.3% 초과)
3) RR개선품 (개선압출물, P54X→P51X 적용)
 -  IP : 6.41(B) / 6.34(A)
 - R&D #5호기 : 6.04(A) / 6.01(B)",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e14309c4dd4d38838e0720656e4944
QI-2026-00126,IP,Development,null,null,null,2026-03-24,2026-05-11,null,null,null,null,null,On-going,Internal,Europe,1038825,Performance,Lab test,RR,"1) Mold 제작 시 설정된 VT의예상 RR 값 5.9 ~ 6.0 수준 
2) 1차 샘플 (VT와 동일 Spec) : 6.86 (약 16.3% 초과)
 - 1차 재제조 : 6.17(R&D #5호기), 6.27/6.43(IP, B/A 포지션)
 - 1차 재제조 (가류온도 비교평가 163→160도) : 6.19(R&D #5호기), 6.59/6.12(IP, B/B 포지션)
3) RR개선품 (개선압출물, P24X 유지)
 -  IP : 6.86(B) / 6.1(A)
  ㄴ IP 동일타이어 재측정 : 6.37(A) / 6.33(A)
 - R&D #5호기 : 6.04(A) / 6.06(B)",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e147304e8c418c5b5795ba226113af
QI-2026-00124,JP,Development,SAIC Audi,A5L,B10,2026-05-08,2026-05-08,null,null,null,null,null,On-going,Test,ASIA(China),1035055,Performance,Lab test,RR,"* SAIC-Audi B10 19inch 양시품 RR 측정 결과 NG. (Target : Max. 6.2, 실제 : 6.22, 6.38, 6.25, 6.31, 6.35_JP QA 측정)
* 승인 당시 CE17 (158도) 가류 조건 적용. 최근에 CE17 조건 Fade out 예정에 따라 CE06 (160도) 적용하여 RR 개선 하였으나 6.2 수준으로 Margin 부족. V-Gate에서는 CE17 사용하여 양시 진행 결정 됨.
* 승인품의 경우, 2024년 12/24일 제조 시 RR이 6.46, 6.55로 NG 였으나, 2025년 7/14일 재재조 시 RR 5.95, 6.05 수준으로 OK 수준. 이후 OE Sample 대응으로 RR 개선을 위한 Rebuild를 여러번 진행함.
 - X39 : 6.24, 6.21
 - X40 : 5.89, 5.95
 - X42 : 6.01, 6.04, 6.04, 6.10, 5.98, 6.03, 6.03, 6.03
 - X50 (CE06, 가변형 Sub. T/D, S자 Winding 적용) : 6.11, 6.14, 6.2, 6.22 => CE17로 V-Spec에 적용.",.,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e04b2ab6649deb1d4c51543e618a66
QI-2026-00122,MP,Development,AMG,CLA Coupe,BR174,2026-04-28,2026-05-07,null,null,null,null,null,On-going,Test,Europe,1037507,Endurance,Crack,T/D,"Mercedes-AMG BR174 승인품 sample 반복성 평가 중 Lower shoulder 부근 Tearing 발생. 
전후륜 모두 비슷한 양상이나 FR 특히 심함(상기 이미지)

1037507X00048",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e00a329d23d0ef2fa5acb54afd3a47
QI-2026-00123,MP,Development,AMG,CLA Coupe,BR174,2026-04-27,2026-05-07,null,null,null,null,null,On-going,Test,Europe,1037508,Endurance,Crack,T/D,"Mercedes-AMG BR174 승인품 sample 반복성 평가 중 Lower shoulder 부근 Tearing 발생. 
전후륜 모두 비슷한 양상이나 FR 특히 심함(상기 이미지)

-1037508X00048",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19e00e6386c708ed5b21cc2dd221915a
QI-2026-00116,MP,Development,AMG,GLE AMG,BR591,2026-05-04,2026-05-06,null,null,null,null,null,On-going,Test,Europe,1036601,Performance,R&H,Wet Handling,"승인품 대비 P00 스펙에서 Wet Handling 성능 편차 발생
- Steering angle requirment (-0.25)
- Target accuracy (-0.5)
- Self-Steering behavior (-0.5)
- Load-change reation (-1.0)
- Wet Lap time (+1.48sec)",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dfb7fe10771ef5bfcf17f884453f98
QI-2026-00117,HP,Mass Production,BYD,Seagull,EQEAU,2026-05-06,2026-05-06,null,null,null,null,null,On-going,Internal,ETC,1037511,IQM Plus,General,Nonconformity,"Total Index : 86.7
Scrap : 10.3 (16,805 PPM) ▶ Need to improve it (AUS)
Rework : 12.7 (78,594 PPM)
G/T weight : 15 (100%)
U/F Pass rate : 14.2 (94.4%)
RR : No measurement
CTL : 13.7 (95.7%)",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dfbedb810b12aa594012c2f2552627
QI-2026-00118,JP,Mass Production,VW,Golf,VW380 PA,2026-05-06,2026-05-06,Y,2026-05-08,null,null,null,On-going,Internal,ETC,1034812,IQM Plus,General,RR,"Total Index : 83.6 
Scrap : 14.8 (1677 PPM)
Rework :  14.1 (41655 PPM)
G/T Weight : 14.6 (99.4%)
U/F Pass rate : 13.8 (92.03 %)
RR : 8.2 (1.1 sigma) -> Need to improve 
CTL : 13.2 (94%)",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dfc2e00389dba29fa5366f3bca7704
QI-2026-00119,JP,Mass Production,Audi,Q5L,Q5 NF,2026-05-06,2026-05-06,null,null,null,null,null,On-going,Internal,ETC,1034832,IQM Plus,General,RR,"Total Index : 82.9 
Scrap : 14.9 (1332 PPM)
Rework : 13.8 (49914 PPM)
G/T Weight : 14.5 (99.3%)
U/F pass rate : 13.7 (91.5%)
RR : 8.1 (1.1 sigma)
CTL : 12.8 (92.6%)",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dfc37ac34f3a0d5d39ea8f731166f8
QI-2026-00120,KP,Mass Production,KMC,Sorento,MQ4 HEV,2026-05-06,2026-05-06,null,null,null,null,null,On-going,Internal,ETC,1037494,IQM Plus,General,CTL,SWB.R & TBG.R + y check the standard. ,-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dfc3cc4dc190bd199d65c472d85afd
QI-2026-00121,JP,Mass Production,Xiaomi,YU7,MX11,2026-05-06,2026-05-06,null,null,null,null,null,On-going,Internal,ETC,1035065,IQM Plus,General,CTL,"BFH & SWB.R & I/P need to check the standard and process.
",-,null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dfc47d7c157dd310891e64f97ea5d3
QI-2026-00115,IP,Mass Production,Renault-Nissan,Sandero,XJI,2026-04-28,2026-04-28,null,null,2026-05-07,N,2026-05-09,Complete,In-Line(OE),Africa,1035785,Damaged(Undefined),Damaged Tire,S/W,Deformation to the tires (damage from bead until shoulder area),- Request to OE Europe or technical service team to visit and check directly tire condition and process in customer assembly line (Somaca_Renault),"The tires have damaging from the bead area to the shoulder. Possible defect tire is deformation during shipment process or handling 
in customer logistic line.","About building process there normal parameter setting, and on  curing process the PA joint confirmed parallel with DOT position which rarely experiences defects while damage position not on carcass joint. 
So, based on internal investigation the deformation caused of external impact during shipment or handling in customer.",no abnormal condition related curing process,No Issue,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dd1ac119543ada334d9deb3ca80353
QI-2026-00115,IP,Mass Production,Renault-Nissan,Sandero,XJI,2026-04-28,2026-04-28,null,null,2026-05-07,N,2026-05-09,Complete,In-Line(OE),Africa,1035785,Damaged(Undefined),Damaged Tire,S/W,Deformation to the tires (damage from bead until shoulder area),- Request to OE Europe or technical service team to visit and check directly tire condition and process in customer assembly line (Somaca_Renault),"The tires have damaging from the bead area to the shoulder. Possible defect tire is deformation during shipment process or handling 
in customer logistic line.","About building process there normal parameter setting, and on  curing process the PA joint confirmed parallel with DOT position which rarely experiences defects while damage position not on carcass joint. 
So, based on internal investigation the deformation caused of external impact during shipment or handling in customer.",no abnormal condition related building process,No Issue,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dd1ac119543ada334d9deb3ca80353
QI-2026-00114,KP,Mass Production,KMC,EV3,SV1,2026-04-24,2026-04-28,Y,2026-04-28,null,null,null,On-going,Filed,ASIA(Korea),1032966,Manufacturing,Foam,Detach,"1. Foam 탈착 양상 확인시 글루 폭이 일정하지 않음 (5~7mm)
2. 글루 호리병 형상으로 도포 및 부착시 이슈있었을 것으로 판단됨.
3. 25년 4월 제조품 고품 확보하였으며, 26년 3~4월에 집중 접수됨.(고품은 13,000km 주행)","1. KP) 품질관리팀
  1) 이슈품 제조 이력 지급 확인 후 원인 분석
     → Foam 중량, 압착, 도포시간등 Foam 제조 이력 확인 필요
  
2. KP) 기술팀
  1) 고품 회수하여 분석

2. 한국기술서비스팀
  1) 24년~현재까지 Return 확인 결과

3. 한국OE영업팀
  1) 25년 2월~6월 생산일 기준 이슈 규격 DOT 주차별 OE 공급 이력 확인

4. 친환경재료팀
  1) 폼 & 글루 물성 분석",null,null,null,null,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19dd1ab793b1587d01fbc196d211a790
